63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
63,63,8,8,8,8,14,14,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,8,8,8,8,63,63
63,63,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,63,63
63,63,8,1,22,22,22,22,22,22,22,1,1,1,16,16,16,16,16,16,16,16,16,16,16,16,1,1,1,20,20,20,20,20,20,20,20,8,63,63
63,63,8,1,22,22,22,22,22,22,22,9,1,1,16,16,16,16,16,16,16,16,16,16,16,16,1,1,9,20,20,39,20,20,20,20,20,8,63,63
63,63,8,1,22,22,22,22,22,22,22,9,1,1,16,16,36,16,16,16,16,16,16,16,16,16,1,1,9,20,20,20,20,20,20,20,20,8,63,63
63,63,8,1,22,22,22,22,22,22,22,9,1,1,16,16,16,16,16,16,16,16,16,16,16,16,1,1,9,20,20,20,20,20,20,20,20,8,63,63
63,63,8,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,4,11,11,4,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,8,63,63
63,63,8,1,21,21,21,21,21,21,21,9,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,9,19,19,19,19,19,19,19,19,8,63,63
63,63,8,1,21,21,21,21,21,21,21,9,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,9,19,19,19,19,19,19,19,19,8,63,63
63,63,8,1,21,21,21,21,21,21,21,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5,19,19,19,19,19,19,19,19,8,63,63
63,63,13,1,21,21,21,21,21,21,21,11,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5,11,19,19,19,19,19,19,19,19,13,63,63
63,63,8,1,21,21,21,45,21,21,21,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5,19,19,19,19,36,19,19,19,8,63,63
63,63,8,1,21,21,21,21,45,21,21,9,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,9,19,19,19,19,19,19,19,19,8,63,63
63,63,8,1,21,21,21,21,21,21,21,9,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,9,19,19,19,19,19,19,19,19,8,63,63
63,63,8,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,4,11,11,4,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,8,63,63
63,63,8,1,17,17,17,17,17,17,17,17,17,17,17,17,17,1,4,4,4,4,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,8,63,63
63,63,8,1,17,17,17,17,17,17,17,17,17,17,25,17,17,1,4,4,4,4,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,8,63,63
63,63,8,1,17,17,17,17,17,17,17,17,17,17,17,17,17,1,4,4,4,4,1,18,18,44,18,18,18,18,18,18,18,18,18,18,18,8,63,63
63,63,8,1,17,17,17,17,17,17,17,17,17,17,17,17,17,1,11,54,55,11,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,8,63,63
63,63,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,63,63
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
